,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,275,50,33,87,221,304,371,638,793,1146,1822,3438,4840,6551,9228,13207,16590,15947,11763,5678,1261,37
Se01 結核,0,0,0,0,0,2,0,0,2,0,5,7,8,8,14,28,41,35,21,10,2,0
Se02 悪性新生物＜腫瘍＞,9,9,3,10,17,26,51,127,202,384,683,1476,2249,2941,3757,4478,4481,3081,1509,486,65,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,5,11,26,78,120,179,149,127,109,54,28,7,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,10,19,35,46,83,195,297,404,516,615,638,462,254,88,15,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,1,4,9,20,24,38,105,168,239,269,348,384,306,170,73,10,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,5,4,20,37,71,141,140,168,147,132,102,61,19,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,1,0,0,1,5,7,25,48,155,208,295,460,561,414,218,83,27,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,9,23,42,83,126,178,233,280,233,115,38,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,1,10,24,49,116,208,250,321,349,347,211,114,31,1,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,15,20,60,109,229,418,559,813,955,1018,587,234,63,7,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,15,30,62,97,140,117,103,94,77,84,60,37,13,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,17,18,15,34,41,38,54,49,38,43,41,19,6,2,0
Se13 白血病,4,3,0,4,3,4,7,11,9,11,14,29,53,71,65,107,83,46,28,3,0,0
Se14 糖尿病,0,0,1,1,2,2,2,4,8,10,21,54,82,99,135,190,193,178,121,32,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,1,3,5,10,15,17,30,49,88,124,127,69,16,0
Se16 心疾患（高血圧性を除く）,17,3,4,3,14,15,34,77,97,154,255,431,648,882,1293,2085,2928,3118,2479,1238,251,3
Se17 急性心筋梗塞,0,0,0,0,1,5,4,14,25,45,90,141,213,282,414,610,778,666,441,141,23,2
Se18 その他の虚血性心疾患,0,0,0,0,4,1,7,21,17,26,66,100,138,215,290,466,566,494,344,164,26,1
Se19 不整脈及び伝導障害,0,0,2,1,3,5,10,8,13,29,25,52,105,133,172,277,415,396,274,128,23,0
Se20 心不全,3,0,1,1,4,2,8,22,21,35,48,96,137,174,290,547,893,1233,1157,697,161,0
Se21 脳血管疾患,1,2,1,1,5,10,15,45,70,108,162,325,402,552,940,1485,1941,2177,1496,688,135,0
Se22 くも膜下出血,0,1,1,0,4,3,9,26,35,44,50,103,99,104,115,168,163,137,63,15,5,0
Se23 脳内出血,1,1,0,1,1,4,6,14,32,54,93,162,197,239,340,457,500,453,215,82,10,0
Se24 脳梗塞,0,0,0,0,0,2,0,2,1,9,16,50,95,192,454,821,1229,1520,1182,572,116,0
Se25 大動脈瘤及び解離,0,0,0,0,1,2,2,8,9,11,21,39,42,88,120,213,287,196,100,25,3,0
Se26 肺炎,9,4,1,0,5,2,4,7,11,12,27,104,147,301,619,1217,2004,2366,1995,993,219,3
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,1,1,2,2,13,21,43,118,230,349,270,163,50,11,0
Se28 喘息,0,0,0,0,1,1,2,3,9,1,5,1,4,12,9,23,37,46,31,20,4,1
Se29 肝疾患,1,0,0,0,1,3,5,20,40,39,91,129,157,180,187,197,161,110,59,14,0,0
Se30 腎不全,2,0,0,0,0,1,2,2,2,9,7,24,38,90,148,273,417,424,352,168,31,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,74,286,615,1043,850,319,0
Se32 不慮の事故,26,9,3,25,47,51,46,67,63,70,95,152,202,244,328,445,533,486,295,124,17,5
Se33 交通事故,8,2,0,19,28,18,14,24,24,20,30,34,37,37,66,75,57,35,13,1,0,1
Se34 自殺,0,0,3,32,99,138,144,185,169,177,208,271,234,212,131,109,80,39,22,0,2,10
