,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,306,42,47,106,300,329,464,689,904,1264,1975,3754,5418,7198,9493,14025,17620,16678,12364,6076,1291,55
Se01 結核,0,0,0,0,0,0,0,3,1,0,4,9,7,8,11,26,45,43,18,6,1,0
Se02 悪性新生物＜腫瘍＞,12,4,8,14,24,21,71,130,227,410,756,1623,2451,3301,3948,4952,4975,3406,1662,535,67,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,3,9,25,86,144,162,166,158,123,56,28,7,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,2,6,27,31,52,105,230,331,484,621,674,709,533,288,96,7,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,2,10,10,14,27,54,109,189,241,283,377,416,354,198,72,6,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,4,5,28,45,83,129,149,172,170,170,117,65,19,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,1,0,0,0,1,5,6,10,25,53,150,263,360,478,618,443,264,95,21,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,0,3,10,18,41,83,125,181,264,313,242,141,38,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,6,10,21,44,139,224,306,334,408,351,250,130,30,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,14,32,47,105,254,445,621,790,1093,1083,675,250,86,9,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,9,13,42,71,92,119,131,107,94,83,85,54,33,14,5,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,2,1,13,19,25,29,59,47,59,35,44,58,42,34,6,3,0
Se13 白血病,4,1,5,5,9,4,3,5,10,10,31,48,51,80,97,126,107,62,20,2,0,0
Se14 糖尿病,0,1,0,0,3,2,4,9,8,17,19,63,80,128,137,207,225,202,121,36,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,3,2,1,12,4,15,28,37,50,95,110,127,75,20,0
Se16 心疾患（高血圧性を除く）,15,2,4,5,20,20,44,79,136,156,251,453,746,927,1306,2179,3046,3263,2589,1350,275,5
Se17 急性心筋梗塞,0,0,0,0,2,0,10,20,41,46,94,158,258,293,400,614,777,736,459,182,20,1
Se18 その他の虚血性心疾患,1,0,0,1,3,2,11,15,32,30,56,97,194,228,289,475,580,524,357,155,35,2
Se19 不整脈及び伝導障害,1,0,0,0,5,12,10,12,21,31,28,70,98,130,149,271,376,395,318,153,27,1
Se20 心不全,2,0,2,1,9,2,7,16,25,28,46,86,141,182,335,599,992,1262,1197,739,172,1
Se21 脳血管疾患,1,2,1,4,6,7,16,45,70,133,192,338,491,637,948,1552,2094,2140,1606,810,122,3
Se22 くも膜下出血,0,1,0,3,1,4,5,22,30,54,73,99,116,124,160,186,186,136,54,31,2,1
Se23 脳内出血,0,1,0,1,5,2,10,19,33,68,100,175,239,290,352,469,583,441,269,91,9,1
Se24 脳梗塞,1,0,1,0,0,1,0,2,6,9,16,58,112,210,407,858,1281,1514,1231,664,106,0
Se25 大動脈瘤及び解離,0,0,0,0,1,0,7,5,10,8,25,38,66,105,145,228,262,206,138,36,2,0
Se26 肺炎,4,2,2,1,0,6,9,7,10,22,29,85,171,297,570,1150,1999,2350,2021,961,199,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,1,6,6,20,51,94,244,357,292,163,35,9,0
Se28 喘息,0,0,0,0,0,1,0,3,3,2,4,5,8,9,16,26,35,30,23,15,0,0
Se29 肝疾患,3,0,0,0,1,4,4,11,45,47,85,134,166,191,192,198,169,109,56,20,3,0
Se30 腎不全,0,1,0,0,0,0,1,1,5,6,13,33,47,104,133,279,428,467,392,195,42,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,76,288,660,1084,899,343,0
Se32 不慮の事故,15,6,14,33,42,48,36,62,70,84,101,157,196,243,325,457,512,452,318,112,22,6
Se33 交通事故,1,3,6,24,28,20,12,22,25,24,29,32,49,58,61,67,70,30,14,0,0,1
Se34 自殺,0,0,6,34,154,171,211,245,226,228,244,331,308,218,174,119,91,52,31,4,1,18
