,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,264,52,47,116,224,281,399,622,845,1218,1906,3238,5743,6956,9288,14021,18554,18292,13519,6722,1617,56
Se01 結核,0,0,0,0,1,0,1,2,0,1,2,6,5,4,13,32,41,37,20,6,2,0
Se02 悪性新生物＜腫瘍＞,8,13,8,11,13,25,60,116,222,397,731,1467,2768,3385,3954,5057,5274,3910,1929,609,81,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,1,6,30,67,133,169,168,160,151,91,26,6,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,3,8,13,21,37,95,201,383,456,543,693,699,552,344,79,16,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,4,7,15,27,49,110,214,258,303,390,447,427,234,85,14,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,6,6,21,45,79,143,148,174,195,154,127,71,27,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,3,7,29,51,129,254,333,455,593,499,291,117,40,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,5,9,16,33,89,119,195,242,310,255,143,51,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,6,15,23,49,113,223,288,346,407,382,291,113,39,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,1,1,1,3,15,22,47,107,238,536,744,847,1095,1170,811,307,105,9,2
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,3,6,13,37,75,98,143,154,131,96,88,99,83,41,8,4,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,4,5,12,17,16,27,44,62,63,45,50,60,44,29,12,2,0
Se13 白血病,4,5,5,3,3,3,8,4,12,13,16,35,63,70,90,140,103,61,30,10,0,0
Se14 糖尿病,0,0,0,0,0,0,3,10,4,15,15,37,81,116,134,207,209,190,119,45,7,1
Se15 高血圧性疾患,0,0,0,0,1,0,0,1,0,3,2,10,17,20,26,50,95,132,109,105,30,0
Se16 心疾患（高血圧性を除く）,11,4,8,5,9,10,31,63,83,137,230,408,691,843,1229,2040,3066,3390,2685,1397,278,4
Se17 急性心筋梗塞,0,0,0,0,2,1,5,13,33,46,74,145,221,264,360,557,780,686,416,162,22,1
Se18 その他の虚血性心疾患,0,0,0,0,2,3,5,15,13,30,46,99,173,210,303,465,573,540,360,145,29,2
Se19 不整脈及び伝導障害,2,0,2,1,3,2,7,11,15,27,47,52,102,109,174,257,431,496,330,188,29,0
Se20 心不全,1,0,3,0,1,2,8,11,15,19,36,61,130,181,267,546,962,1319,1317,799,185,1
Se21 脳血管疾患,0,1,2,0,0,14,13,32,68,118,177,270,461,519,842,1431,2058,2159,1666,785,158,5
Se22 くも膜下出血,0,0,0,0,0,9,6,18,36,55,69,71,109,103,126,173,172,134,70,17,2,1
Se23 脳内出血,0,1,2,0,0,2,6,13,24,53,94,156,224,220,309,444,557,436,279,85,20,3
Se24 脳梗塞,0,0,0,0,0,2,1,1,7,5,11,38,108,175,395,786,1280,1538,1282,659,130,1
Se25 大動脈瘤及び解離,0,0,0,0,0,0,3,7,6,20,23,30,103,108,152,233,315,283,164,37,4,0
Se26 肺炎,12,3,4,0,3,10,4,10,15,17,30,77,172,271,494,1193,2084,2453,2094,996,258,0
Se27 慢性閉塞性肺疾患,1,0,0,0,0,0,0,1,0,1,3,13,26,42,109,222,420,323,173,64,10,0
Se28 喘息,0,0,0,0,1,1,0,1,3,1,1,2,7,10,14,23,24,49,25,17,4,0
Se29 肝疾患,0,0,0,0,1,2,4,20,38,53,91,114,161,150,168,167,172,121,51,18,2,1
Se30 腎不全,1,0,0,0,0,0,1,2,2,6,12,19,50,86,135,259,412,479,363,160,39,1
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,109,371,816,1340,1143,469,0
Se32 不慮の事故,18,11,3,36,36,30,34,48,65,55,81,147,186,229,337,500,647,551,337,135,20,1
Se33 交通事故,3,7,0,29,21,12,15,18,19,16,25,36,52,54,85,82,76,53,16,0,0,0
Se34 自殺,0,0,7,36,118,147,180,205,207,219,259,267,289,224,197,145,88,62,22,7,0,19
