,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,300,29,39,95,221,282,395,620,814,1085,1769,3242,5161,6795,9149,13442,17060,17059,12592,6103,1454,36
Se01 結核,0,0,0,0,0,1,0,0,0,0,2,2,9,13,11,26,29,43,26,10,0,0
Se02 悪性新生物＜腫瘍＞,4,8,6,11,12,21,65,138,228,354,657,1410,2370,3134,3807,4586,4635,3326,1618,511,71,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,5,9,25,68,132,162,183,137,120,56,25,4,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,3,5,22,32,42,83,172,334,422,552,653,661,533,273,84,10,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,1,2,5,23,26,39,103,165,222,330,385,407,357,180,76,7,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,4,6,24,36,64,138,159,171,145,152,99,54,24,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,1,1,0,4,13,13,45,115,234,322,428,519,451,231,90,20,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,3,5,6,19,38,70,120,173,246,280,237,109,44,9,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,4,9,28,42,116,220,293,270,380,340,256,125,37,3,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,17,21,43,90,216,430,645,766,992,1019,651,299,78,12,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,14,17,36,62,98,151,142,102,111,78,70,61,36,11,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,4,5,11,14,16,31,34,50,57,55,53,50,44,21,9,1,0
Se13 白血病,2,4,3,2,5,4,7,10,14,15,23,41,44,69,91,93,75,62,15,5,1,0
Se14 糖尿病,0,0,1,0,0,0,4,3,15,13,27,39,86,110,158,183,197,214,122,54,6,0
Se15 高血圧性疾患,0,0,0,1,0,0,0,1,3,3,4,6,11,23,21,58,106,134,128,89,21,0
Se16 心疾患（高血圧性を除く）,13,2,3,8,12,23,33,59,106,138,226,410,664,886,1285,2171,2976,3532,2769,1287,294,3
Se17 急性心筋梗塞,0,0,0,0,0,1,7,19,29,53,89,139,231,255,358,588,773,752,461,168,23,1
Se18 その他の虚血性心疾患,0,0,0,1,2,5,7,12,23,33,42,99,159,229,306,480,587,588,337,150,32,1
Se19 不整脈及び伝導障害,1,1,0,2,2,5,5,11,20,16,42,52,82,146,180,306,415,442,341,141,34,1
Se20 心不全,4,1,1,0,3,4,10,11,23,23,35,92,129,173,303,558,877,1342,1345,706,171,0
Se21 脳血管疾患,0,0,0,4,5,2,17,33,68,96,169,274,452,597,847,1399,2038,2093,1558,678,140,0
Se22 くも膜下出血,0,0,0,2,1,0,11,12,31,38,62,65,123,121,114,147,181,120,67,23,2,0
Se23 脳内出血,0,0,0,1,4,1,6,19,31,51,84,155,209,249,319,464,503,506,270,86,14,0
Se24 脳梗塞,0,0,0,1,0,0,0,1,3,4,22,47,104,208,399,748,1292,1407,1176,558,119,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,4,5,4,9,15,32,73,82,129,213,250,261,135,38,3,0
Se26 肺炎,11,2,0,1,4,2,5,10,14,22,41,80,147,258,556,1128,1948,2373,1967,964,222,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,2,1,2,1,13,25,52,102,252,344,305,168,63,8,0
Se28 喘息,0,0,0,0,0,2,3,3,0,1,4,1,6,8,12,20,38,40,34,16,2,0
Se29 肝疾患,1,0,1,0,2,3,4,15,32,48,92,118,178,194,192,200,154,101,49,14,3,0
Se30 腎不全,0,0,1,0,1,0,1,3,2,4,8,25,38,77,140,230,406,446,382,181,40,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,7,28,89,287,699,1167,1023,396,0
Se32 不慮の事故,19,5,12,14,39,43,47,52,54,75,93,136,204,245,341,471,618,533,341,178,42,2
Se33 交通事故,2,4,1,10,28,26,19,22,16,16,28,33,45,41,59,61,76,39,8,0,1,0
Se34 自殺,0,0,3,28,111,138,153,203,159,182,209,254,230,176,139,101,73,49,24,5,0,10
