,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,260,48,31,110,244,301,366,648,923,1241,1856,3413,5121,6854,9200,13201,16669,15983,11409,5754,1221,54
Se01 結核,0,0,0,0,0,0,1,0,0,1,0,6,7,8,12,32,55,37,25,9,1,1
Se02 悪性新生物＜腫瘍＞,12,10,6,14,18,31,63,161,232,421,788,1580,2521,3433,4153,5202,5229,3526,1794,570,77,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,3,11,32,71,125,175,184,162,123,81,30,7,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,6,6,24,35,60,95,209,362,500,591,703,702,541,312,93,7,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,4,15,11,28,50,114,182,260,331,379,445,336,208,92,14,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,1,0,0,0,4,1,4,10,18,45,77,116,160,199,155,170,117,59,17,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,0,2,7,8,19,52,147,226,337,468,607,464,260,99,32,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,1,3,19,19,42,84,133,214,288,355,229,149,40,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,6,10,32,54,145,236,291,372,429,400,265,129,29,3,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,1,0,0,0,1,7,23,29,51,127,272,519,685,819,1171,1175,722,328,85,15,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,1,0,3,22,30,68,100,131,140,127,124,84,99,57,26,21,6,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,3,7,15,20,24,35,44,51,52,51,58,55,41,23,8,1,0
Se13 白血病,1,2,1,4,5,3,6,12,10,12,23,29,54,88,105,126,123,66,27,4,0,1
Se14 糖尿病,0,0,0,0,2,1,1,4,12,11,23,43,78,94,161,178,225,165,82,40,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,2,2,9,17,23,19,41,67,114,117,74,13,0
Se16 心疾患（高血圧性を除く）,7,4,1,8,11,17,23,50,95,143,207,367,599,772,1048,1683,2447,2850,2202,1156,258,2
Se17 急性心筋梗塞,0,0,0,1,0,1,3,12,31,37,60,133,214,252,325,467,622,582,371,164,26,0
Se18 その他の虚血性心疾患,0,0,0,0,0,1,4,12,16,28,46,81,129,170,245,344,415,436,280,137,35,2
Se19 不整脈及び伝導障害,2,1,0,4,2,4,8,9,18,26,32,53,77,105,150,229,314,367,255,133,36,0
Se20 心不全,1,1,0,0,4,4,7,12,20,40,46,62,104,173,223,467,833,1133,1083,622,141,0
Se21 脳血管疾患,1,0,0,1,3,8,17,41,89,126,163,303,401,541,839,1376,1885,2052,1440,685,124,2
Se22 くも膜下出血,0,0,0,1,2,4,8,24,42,55,64,89,114,113,124,174,176,161,71,16,2,0
Se23 脳内出血,0,0,0,0,1,2,6,15,36,58,76,170,181,231,305,423,487,442,237,95,13,1
Se24 脳梗塞,0,0,0,0,0,2,2,2,6,8,19,43,94,183,390,748,1189,1412,1096,557,104,1
Se25 大動脈瘤及び解離,0,0,0,0,1,0,0,7,10,11,17,38,57,83,149,192,278,234,145,34,5,0
Se26 肺炎,2,2,2,1,2,3,5,6,14,17,36,84,130,257,517,994,1868,2151,1716,923,184,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,1,1,4,12,52,99,240,348,292,145,60,9,2
Se28 喘息,0,0,0,0,0,1,2,1,2,6,1,4,6,10,12,31,23,30,25,10,1,0
Se29 肝疾患,2,0,0,1,0,0,6,17,49,60,93,132,175,140,163,158,162,110,48,13,3,2
Se30 腎不全,0,1,0,0,1,1,1,4,3,5,13,26,49,79,137,235,352,426,326,151,26,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,84,310,685,1020,935,293,0
Se32 不慮の事故,16,13,4,25,47,38,37,63,54,72,72,154,188,235,291,459,518,430,255,115,24,3
Se33 交通事故,3,10,2,19,30,18,16,25,20,28,29,46,57,62,76,98,84,39,8,4,0,2
Se34 自殺,0,0,3,41,123,145,158,198,215,206,230,271,253,226,182,136,104,54,26,12,2,18
