,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,297,49,50,113,269,311,453,664,964,1339,2144,4110,5827,7664,10872,16005,20206,19077,14618,6761,1459,43
Se01 結核,0,0,0,0,1,0,0,2,1,1,4,7,4,11,28,35,57,37,30,2,0,1
Se02 悪性新生物＜腫瘍＞,6,10,5,13,23,24,63,146,263,418,834,1718,2583,3321,4108,5232,5056,3417,1815,557,74,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,3,8,35,93,131,164,168,163,134,54,31,12,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,0,1,7,21,37,51,124,235,351,475,619,729,753,559,334,95,13,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,2,3,2,6,3,15,30,73,138,180,257,304,412,408,321,199,75,13,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,8,13,24,35,84,109,143,181,193,189,109,58,16,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,0,1,4,9,21,74,160,252,335,502,632,486,247,119,30,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,3,13,23,50,90,115,165,253,291,244,152,39,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,5,12,23,58,139,244,264,334,400,384,248,114,46,4,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,6,18,30,47,102,268,515,721,843,1117,1086,685,306,79,10,2
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,23,41,60,107,151,158,129,105,105,81,64,49,12,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,18,20,22,30,47,44,48,48,44,54,50,21,7,1,0
Se13 白血病,2,1,0,4,8,3,14,2,14,21,24,40,54,75,100,131,101,62,22,10,0,0
Se14 糖尿病,0,0,0,0,3,2,1,3,20,17,27,74,91,119,192,261,275,217,125,47,10,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,2,4,6,14,23,29,32,74,126,155,172,77,18,0
Se16 心疾患（高血圧性を除く）,14,5,1,4,18,22,45,75,118,197,302,568,828,1155,1766,2696,3752,4133,3217,1425,292,2
Se17 急性心筋梗塞,0,0,0,0,2,2,9,14,32,75,109,190,253,374,571,784,1013,896,607,197,32,1
Se18 その他の虚血性心疾患,0,0,0,0,3,1,7,14,26,55,59,122,206,275,398,599,765,750,452,176,28,1
Se19 不整脈及び伝導障害,3,1,0,1,4,6,12,21,15,25,42,92,124,167,224,386,491,528,374,151,22,0
Se20 心不全,4,1,0,3,4,6,8,16,32,28,57,112,170,242,413,709,1129,1533,1483,791,183,0
Se21 脳血管疾患,0,1,4,4,2,10,11,44,81,125,196,364,510,665,1069,1748,2425,2418,1865,786,148,1
Se22 くも膜下出血,0,1,1,2,2,4,2,20,36,49,69,113,115,113,155,198,222,170,72,13,7,0
Se23 脳内出血,0,0,3,1,0,5,4,19,37,59,102,199,246,277,388,500,575,495,277,92,16,1
Se24 脳梗塞,0,0,0,1,0,0,5,3,4,13,16,43,130,251,500,1001,1559,1688,1467,654,122,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,3,6,10,15,20,36,70,92,168,233,291,243,142,34,7,1
Se26 肺炎,8,2,2,1,0,7,5,16,14,22,41,109,200,355,757,1557,2538,2860,2498,1225,231,1
Se27 慢性閉塞性肺疾患,1,0,0,0,0,1,0,1,1,1,5,16,31,54,147,287,410,326,170,70,10,0
Se28 喘息,0,0,1,0,1,1,1,1,3,2,4,4,4,9,15,32,39,60,39,21,5,0
Se29 肝疾患,1,0,0,0,0,3,2,20,49,78,95,159,206,224,230,194,197,128,53,23,1,2
Se30 腎不全,0,0,0,0,1,3,1,4,9,5,19,29,75,90,173,294,480,515,427,197,41,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,91,340,781,1267,1060,395,0
Se32 不慮の事故,16,9,8,32,43,46,57,68,76,72,115,175,258,269,432,594,815,594,401,144,24,4
Se33 交通事故,1,4,3,26,21,16,23,22,20,18,20,36,64,38,66,67,52,36,18,2,0,0
Se34 自殺,0,0,3,35,136,131,176,183,184,188,209,296,232,196,147,101,84,55,24,7,0,16
