,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,303,40,39,125,218,259,395,618,771,1132,1808,3308,4809,6354,8358,12167,14755,13747,10064,4787,1064,53
Se01 結核,0,0,0,0,0,0,1,0,0,1,1,5,6,6,7,33,26,37,19,8,2,0
Se02 悪性新生物＜腫瘍＞,10,9,11,13,11,29,72,132,231,381,720,1585,2481,3243,3953,4948,4706,3166,1656,478,72,3
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,4,10,31,90,125,174,161,145,108,58,25,5,1,1
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,12,15,31,57,79,213,352,481,608,709,665,494,284,86,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,7,10,21,20,46,117,172,223,266,353,392,330,201,66,6,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,4,12,25,28,88,115,161,180,162,150,111,62,17,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,0,0,2,3,13,16,67,132,227,301,463,604,470,246,105,22,4,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,1,6,2,18,44,86,125,174,260,273,233,127,43,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,2,1,7,17,22,46,131,216,286,342,403,334,243,108,31,6,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,1,4,10,17,54,109,253,483,667,773,1087,1094,572,267,73,14,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,17,36,61,82,156,152,119,106,88,79,61,33,10,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,5,10,13,31,28,58,51,52,52,52,40,53,18,5,2,0
Se13 白血病,3,4,3,5,3,2,9,11,9,11,22,32,51,79,94,116,94,51,18,4,2,0
Se14 糖尿病,0,0,0,0,0,1,0,1,5,14,19,42,71,83,114,159,192,163,116,39,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,3,0,3,9,5,14,19,30,27,70,96,91,60,13,0
Se16 心疾患（高血圧性を除く）,16,4,4,4,13,15,44,76,92,137,198,384,504,714,952,1506,2186,2367,1962,991,224,8
Se17 急性心筋梗塞,0,0,0,0,0,3,3,12,30,36,72,130,158,213,289,402,542,502,333,121,13,3
Se18 その他の虚血性心疾患,0,0,0,0,3,0,5,18,22,35,46,86,120,175,222,297,388,341,231,95,26,3
Se19 不整脈及び伝導障害,4,0,1,2,4,5,10,15,16,17,28,53,64,86,126,207,281,299,261,123,26,0
Se20 心不全,1,2,0,1,4,3,17,20,17,32,32,74,100,140,205,431,721,954,942,572,137,1
Se21 脳血管疾患,0,0,1,1,6,3,6,31,63,95,163,244,360,509,759,1199,1646,1774,1302,602,98,1
Se22 くも膜下出血,0,0,0,0,2,3,4,17,27,46,52,72,99,109,110,161,140,108,64,11,3,1
Se23 脳内出血,0,0,0,1,4,0,2,12,30,45,93,121,160,204,244,325,423,337,203,74,7,0
Se24 脳梗塞,0,0,0,0,0,0,0,2,2,2,13,47,88,184,378,680,1052,1304,1001,496,84,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,0,5,3,4,9,21,48,64,109,150,219,181,89,27,2,1
Se26 肺炎,8,1,1,3,1,1,2,2,5,9,31,59,120,210,422,992,1686,1940,1560,775,182,1
Se27 慢性閉塞性肺疾患,0,0,0,0,1,0,0,1,0,0,2,10,19,34,78,223,329,264,167,46,4,0
Se28 喘息,2,1,0,0,1,0,0,3,6,2,5,5,6,12,11,20,24,30,25,16,4,0
Se29 肝疾患,0,0,0,1,1,0,3,18,24,50,77,117,136,123,144,164,128,70,41,12,1,0
Se30 腎不全,2,0,0,0,1,1,1,1,2,4,13,21,37,73,122,209,312,384,319,131,21,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,52,210,539,744,672,258,0
Se32 不慮の事故,21,16,9,42,39,37,39,47,43,64,80,106,160,190,225,319,377,307,231,86,17,3
Se33 交通事故,3,8,3,30,22,21,14,20,18,26,32,31,55,61,51,55,50,18,9,2,0,0
Se34 自殺,0,0,1,39,111,134,164,214,194,210,252,292,258,229,187,157,102,80,22,6,1,14
