,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,298,39,55,145,233,295,451,675,857,1322,1912,3682,5886,7727,10276,15274,20074,19503,14300,7105,1581,29
Se01 結核,0,0,0,0,0,0,1,1,0,0,0,3,5,7,18,23,39,44,17,5,0,1
Se02 悪性新生物＜腫瘍＞,9,9,11,15,20,39,66,119,219,413,716,1613,2685,3378,4058,5067,5251,3624,1825,582,58,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,2,9,28,72,137,172,140,133,128,75,41,8,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,4,3,11,14,29,45,93,225,366,467,627,737,736,557,278,77,7,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,4,3,6,16,22,35,119,202,233,303,383,454,357,224,90,10,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,2,13,14,28,103,129,165,152,165,174,101,61,28,4,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,0,1,1,0,9,27,50,139,279,353,432,633,487,292,115,23,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,4,8,19,49,64,144,184,237,299,258,141,42,13,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,5,9,32,50,125,246,273,361,390,429,263,116,37,2,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,2,2,1,12,19,75,107,264,509,727,867,1061,1124,693,292,91,4,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,22,37,62,117,149,173,117,97,88,96,70,44,22,0,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,7,20,26,31,46,61,64,62,46,39,51,27,14,0,0
Se13 白血病,2,2,5,6,5,9,6,9,15,9,10,29,49,63,91,126,111,79,23,6,1,0
Se14 糖尿病,0,0,1,0,0,1,0,9,12,21,28,56,84,140,166,239,233,202,135,50,4,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,5,2,5,7,27,33,31,56,114,167,157,97,23,0
Se16 心疾患（高血圧性を除く）,18,1,3,7,12,19,30,76,91,182,245,501,858,1102,1561,2652,3760,4004,3185,1603,346,3
Se17 急性心筋梗塞,0,0,0,0,0,3,2,24,21,58,81,158,275,311,432,759,942,861,544,237,33,2
Se18 その他の虚血性心疾患,2,0,0,2,1,2,6,12,25,33,65,108,210,280,406,548,711,668,472,201,51,0
Se19 不整脈及び伝導障害,6,0,3,1,2,2,5,12,15,30,33,72,122,141,210,357,508,533,397,205,27,1
Se20 心不全,4,0,0,2,5,7,12,20,20,44,52,109,174,240,359,733,1234,1496,1453,824,206,0
Se21 脳血管疾患,2,1,1,4,4,9,22,46,76,95,191,341,488,684,1005,1610,2344,2400,1716,791,139,2
Se22 くも膜下出血,0,1,1,2,2,5,8,27,33,45,68,95,116,120,154,176,193,154,78,25,0,0
Se23 脳内出血,1,0,0,2,1,1,13,16,33,40,102,167,249,288,372,523,641,503,297,100,17,2
Se24 脳梗塞,0,0,0,0,1,3,1,0,6,4,17,60,116,252,449,867,1445,1671,1296,651,118,0
Se25 大動脈瘤及び解離,0,0,0,0,2,3,4,4,8,9,24,46,85,108,157,231,317,295,123,47,5,0
Se26 肺炎,13,2,1,2,6,4,8,18,16,25,49,91,179,320,658,1308,2334,2697,2193,1165,249,3
Se27 慢性閉塞性肺疾患,0,1,0,0,0,0,0,1,0,2,2,11,31,62,101,248,434,345,182,70,11,0
Se28 喘息,0,0,0,1,0,0,2,2,2,4,4,8,4,13,17,20,41,42,34,24,1,0
Se29 肝疾患,2,0,0,0,0,2,7,21,38,62,97,136,206,221,189,217,182,108,52,19,6,1
Se30 腎不全,3,0,0,1,2,0,1,7,2,7,14,26,52,118,172,273,466,547,432,208,29,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,6,29,105,378,820,1382,1110,463,0
Se32 不慮の事故,21,11,20,31,47,51,55,58,65,77,106,159,239,348,427,632,738,661,373,159,33,3
Se33 交通事故,3,1,8,23,24,22,27,25,20,26,21,45,42,44,58,74,64,28,9,4,1,0
Se34 自殺,0,0,3,49,102,119,179,185,201,220,180,225,225,184,121,104,58,48,23,7,0,8
