,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,254,42,45,150,237,273,409,611,814,1184,1843,3298,4910,6600,8308,12444,15558,14513,10523,5279,1173,56
Se01 結核,0,0,0,0,0,1,1,1,0,2,2,3,7,17,13,23,38,33,28,9,1,0
Se02 悪性新生物＜腫瘍＞,6,9,4,19,18,28,55,130,221,393,751,1564,2564,3392,3884,5055,5113,3506,1689,591,60,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,0,1,9,28,89,134,197,162,171,113,59,23,3,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,0,3,13,13,31,48,89,201,364,460,602,710,754,526,286,96,2,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,11,19,22,53,114,186,250,299,377,422,351,209,90,9,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,1,3,9,16,42,92,135,173,176,188,163,136,66,10,0,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,1,0,0,0,0,2,7,4,33,75,137,257,317,464,572,479,242,93,23,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,2,10,19,49,83,140,172,279,313,254,129,48,4,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,5,14,23,67,117,229,287,293,379,358,247,111,31,6,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,4,4,17,22,51,100,264,461,697,833,1132,1211,696,280,100,11,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,22,38,53,80,124,161,136,85,91,84,71,29,12,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,19,11,35,38,49,50,40,48,50,43,19,12,0,0
Se13 白血病,1,2,1,6,8,4,5,8,6,20,28,45,56,93,78,113,125,64,30,8,1,0
Se14 糖尿病,0,0,0,0,1,1,2,5,12,11,22,46,78,84,107,158,195,145,95,33,1,0
Se15 高血圧性疾患,0,0,0,0,0,0,1,1,5,1,4,14,13,13,20,44,54,77,95,77,13,1
Se16 心疾患（高血圧性を除く）,8,3,2,4,10,11,33,58,84,146,206,373,518,689,935,1501,2227,2455,2009,1026,206,2
Se17 急性心筋梗塞,0,0,0,0,2,0,7,14,30,47,75,131,188,204,279,442,550,487,316,127,18,1
Se18 その他の虚血性心疾患,0,0,0,0,1,4,5,10,10,37,41,93,124,182,220,305,393,354,240,120,17,0
Se19 不整脈及び伝導障害,1,0,0,0,3,4,6,11,12,25,30,56,61,92,120,193,264,330,257,103,21,0
Se20 心不全,2,1,0,2,1,3,9,10,18,28,37,55,90,129,207,404,774,1010,975,592,138,0
Se21 脳血管疾患,1,1,1,2,3,7,25,39,52,119,166,257,351,504,734,1215,1796,1712,1284,635,119,2
Se22 くも膜下出血,1,0,1,1,0,4,16,24,23,53,65,80,98,98,107,139,170,97,64,18,0,0
Se23 脳内出血,0,1,0,0,3,1,9,14,23,53,77,125,152,191,250,373,437,355,198,73,13,0
Se24 脳梗塞,0,0,0,0,0,1,0,0,4,10,14,40,87,198,358,673,1147,1206,994,532,101,2
Se25 大動脈瘤及び解離,0,0,0,0,0,1,1,3,5,9,14,20,44,74,82,150,207,173,101,38,4,0
Se26 肺炎,4,1,3,0,3,3,1,6,11,13,24,66,122,299,480,1017,1720,2031,1619,858,195,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,1,0,1,3,1,1,6,19,44,95,213,320,275,156,52,9,0
Se28 喘息,0,0,0,0,0,2,2,4,4,0,2,3,2,6,11,18,32,28,31,2,3,0
Se29 肝疾患,0,0,0,0,1,0,2,19,36,72,91,121,132,152,134,149,125,94,46,28,1,0
Se30 腎不全,1,1,0,1,0,1,0,1,5,1,13,32,43,75,120,209,328,382,293,136,15,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,70,254,588,936,777,321,1
Se32 不慮の事故,31,18,17,63,52,39,60,51,82,78,102,155,175,196,263,364,406,310,229,102,19,5
Se33 交通事故,9,4,2,33,29,13,19,19,32,23,31,55,55,49,61,84,63,36,18,2,0,1
Se34 自殺,0,0,9,35,110,137,152,181,174,168,224,235,228,162,150,139,113,63,27,10,0,17
