,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,314,36,42,120,226,273,409,636,856,1269,1850,3237,5411,6944,9022,13517,17182,16838,12359,6087,1409,57
Se01 結核,0,0,0,0,0,0,0,0,2,1,4,6,2,7,8,24,41,45,24,11,1,0
Se02 悪性新生物＜腫瘍＞,4,12,10,15,24,27,63,125,228,401,718,1491,2624,3315,3983,5090,5102,3561,1802,581,66,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,0,3,16,28,68,120,183,166,195,120,66,35,10,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,3,5,8,20,24,44,94,195,360,432,582,706,695,495,285,68,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,11,7,26,31,60,115,192,270,314,423,466,381,212,72,7,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,1,0,0,1,0,10,21,33,79,151,170,163,192,182,124,56,18,2,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,5,7,28,46,118,240,365,457,590,462,244,95,33,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,2,3,6,10,43,75,131,167,250,285,248,164,33,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,4,14,26,51,127,222,276,339,375,387,237,109,44,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,1,1,0,3,13,25,46,104,226,522,679,829,1086,1086,733,344,88,10,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,7,26,40,51,94,144,142,136,92,97,80,65,42,19,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,6,14,16,22,32,46,72,41,47,54,59,50,30,8,1,0
Se13 白血病,1,1,6,3,7,7,10,3,10,17,25,35,49,68,90,117,119,51,35,9,1,0
Se14 糖尿病,0,0,0,0,0,0,3,6,7,11,28,45,92,102,161,189,211,193,123,46,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,3,3,5,12,17,28,61,94,101,108,92,17,2
Se16 心疾患（高血圧性を除く）,17,2,0,4,15,16,41,67,93,115,214,346,618,826,1117,1791,2641,2958,2477,1203,256,2
Se17 急性心筋梗塞,0,0,0,1,0,2,4,17,31,41,72,118,194,260,311,490,704,592,398,128,20,0
Se18 その他の虚血性心疾患,0,0,0,0,0,0,9,8,20,27,53,83,167,207,232,366,451,418,315,141,25,1
Se19 不整脈及び伝導障害,4,0,0,1,7,5,6,11,14,22,30,38,72,122,160,248,334,397,302,152,18,1
Se20 心不全,4,0,0,1,6,5,17,14,13,14,42,67,122,165,272,515,886,1185,1195,669,173,0
Se21 脳血管疾患,2,2,0,2,3,6,16,44,76,121,166,282,430,546,809,1417,2013,2082,1602,723,123,1
Se22 くも膜下出血,0,0,0,0,0,4,7,23,31,47,48,77,97,104,127,159,162,148,67,28,2,0
Se23 脳内出血,1,1,0,2,2,2,8,16,37,56,95,146,204,240,280,454,537,439,236,76,18,1
Se24 脳梗塞,1,1,0,0,0,0,0,3,4,7,16,51,114,184,384,759,1269,1456,1266,600,101,0
Se25 大動脈瘤及び解離,0,0,1,0,0,0,0,3,0,12,17,31,61,83,114,201,271,235,112,39,3,0
Se26 肺炎,14,0,2,5,3,2,5,10,12,18,34,80,169,308,602,1163,2016,2518,1951,1048,258,2
Se27 慢性閉塞性肺疾患,1,0,0,1,0,0,0,0,0,2,3,8,22,59,88,205,335,336,195,67,12,1
Se28 喘息,0,0,0,0,0,0,0,4,2,2,2,4,9,9,21,32,25,32,28,14,1,0
Se29 肝疾患,2,0,0,0,0,3,11,15,37,62,86,119,183,171,169,173,165,119,48,14,3,0
Se30 腎不全,0,0,0,0,0,1,2,0,3,9,10,21,49,83,120,241,375,458,369,165,29,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18,82,281,705,1015,946,362,0
Se32 不慮の事故,21,7,5,39,44,47,47,56,61,90,98,117,183,246,267,401,489,408,274,114,18,3
Se33 交通事故,4,3,4,28,23,24,19,24,25,29,33,32,35,48,55,79,64,29,16,5,0,0
Se34 自殺,0,0,5,43,106,130,162,182,205,221,216,258,293,221,145,146,106,65,24,7,1,17
