,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,261,44,38,121,249,276,400,643,846,1095,1712,3161,4762,6418,8374,12151,15477,14463,10690,5170,1146,67
Se01 結核,0,0,0,0,0,0,0,1,0,0,5,2,7,3,11,19,39,40,28,8,0,1
Se02 悪性新生物＜腫瘍＞,6,14,14,12,17,36,83,151,231,392,754,1564,2423,3284,4010,4894,4995,3394,1680,506,70,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,4,10,31,78,115,198,159,170,119,66,39,3,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,5,9,22,28,51,111,201,343,463,581,680,695,526,251,83,4,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,2,5,8,17,33,58,123,155,251,316,375,442,344,232,74,17,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,6,12,17,30,83,127,150,164,168,170,92,50,21,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,0,0,0,7,17,22,47,136,249,329,457,575,451,257,99,24,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,2,3,11,20,64,71,121,193,242,326,257,140,42,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,1,0,0,2,9,7,27,57,142,218,298,338,374,358,235,122,39,8,1
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,3,1,3,14,29,49,101,270,459,638,809,1070,1130,692,281,75,8,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,11,20,33,59,91,119,149,109,102,82,92,58,35,10,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,4,7,14,16,16,29,50,45,52,47,47,62,38,26,8,0,0
Se13 白血病,0,4,5,4,4,3,12,10,18,13,31,34,71,84,88,119,99,50,29,7,0,0
Se14 糖尿病,0,0,0,0,1,0,4,6,9,10,14,42,63,78,108,154,186,129,90,30,4,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,1,0,5,10,13,16,30,68,82,114,61,20,0
Se16 心疾患（高血圧性を除く）,11,2,3,7,11,18,26,42,101,120,195,334,433,683,899,1471,2191,2540,2021,1042,215,5
Se17 急性心筋梗塞,0,0,0,0,1,2,5,8,27,23,52,98,142,231,258,439,526,561,315,120,20,2
Se18 その他の虚血性心疾患,0,0,0,2,0,4,5,8,23,31,55,76,112,153,186,273,368,368,236,96,19,2
Se19 不整脈及び伝導障害,1,0,1,1,3,4,3,7,17,24,26,55,60,91,121,183,284,305,242,121,20,0
Se20 心不全,2,0,1,3,3,4,6,10,17,27,38,63,70,130,215,403,771,1034,1027,613,132,1
Se21 脳血管疾患,0,0,1,5,4,6,14,39,83,86,157,263,399,510,701,1285,1770,1687,1404,601,91,2
Se22 くも膜下出血,0,0,0,3,2,5,7,17,39,35,48,68,92,103,94,145,165,107,57,17,0,0
Se23 脳内出血,0,0,1,2,2,1,4,17,37,42,92,152,206,198,241,403,434,355,214,62,9,1
Se24 脳梗塞,0,0,0,0,0,0,3,3,5,6,13,33,95,192,351,697,1127,1188,1105,508,76,1
Se25 大動脈瘤及び解離,0,0,0,0,1,3,1,2,4,6,9,37,67,78,105,167,236,183,116,29,1,0
Se26 肺炎,4,3,0,1,2,6,1,7,10,17,23,58,143,242,475,1016,1698,2005,1634,838,193,0
Se27 慢性閉塞性肺疾患,2,0,0,0,0,0,0,1,1,2,1,5,21,39,97,184,335,279,143,50,11,0
Se28 喘息,0,0,0,2,1,0,3,0,2,2,1,1,4,6,7,15,27,35,22,13,4,0
Se29 肝疾患,0,0,0,3,0,2,9,16,36,71,72,119,144,158,173,157,143,77,39,14,2,1
Se30 腎不全,1,0,0,0,0,0,2,0,6,4,11,15,39,93,118,203,361,415,309,127,26,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,64,244,558,930,880,324,0
Se32 不慮の事故,19,15,8,38,53,34,39,65,53,63,68,106,144,174,226,330,432,321,205,91,9,6
Se33 交通事故,3,8,4,27,35,17,18,26,26,20,25,38,43,49,58,80,71,35,16,1,0,0
Se34 自殺,0,0,4,30,121,123,166,207,195,184,181,237,249,197,136,144,91,64,34,12,3,16
