,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,307,44,37,138,261,307,405,635,813,1197,1945,3496,5055,6647,8897,13070,16534,15345,11434,5579,1261,60
Se01 結核,0,0,0,0,0,0,0,0,2,3,2,6,9,6,15,23,36,37,27,11,4,0
Se02 悪性新生物＜腫瘍＞,9,6,7,8,17,31,62,142,226,381,761,1615,2426,3145,3851,4877,4796,3215,1600,518,59,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,0,4,10,34,78,112,175,178,161,109,65,22,5,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,1,1,7,22,32,57,109,209,391,439,570,738,724,482,237,95,7,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,2,4,8,11,23,45,112,185,257,278,348,423,305,187,70,9,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,3,7,22,38,91,127,145,174,177,150,117,55,21,1,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,1,0,0,6,8,16,61,133,241,306,466,558,471,250,94,28,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,6,9,18,43,76,132,181,248,289,228,130,50,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,6,11,21,69,111,216,302,336,383,360,238,115,30,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,2,5,9,26,32,105,305,427,636,794,1058,1048,631,300,73,11,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,3,4,28,42,50,82,130,132,107,98,81,81,63,26,12,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,1,7,16,17,30,34,55,41,50,48,55,54,42,18,9,0,0
Se13 白血病,2,4,2,2,2,4,8,7,8,14,22,36,52,70,87,118,88,60,23,5,1,0
Se14 糖尿病,0,0,1,0,0,0,1,8,2,17,25,61,77,122,149,194,247,171,105,41,7,0
Se15 高血圧性疾患,0,0,0,0,0,1,0,2,2,2,7,9,11,15,29,47,91,107,105,75,16,0
Se16 心疾患（高血圧性を除く）,12,4,2,9,16,21,23,73,82,138,241,391,615,827,1212,1861,2654,2936,2329,1148,248,3
Se17 急性心筋梗塞,0,0,0,1,0,6,4,17,23,38,79,113,203,251,376,535,685,626,392,157,30,1
Se18 その他の虚血性心疾患,0,1,1,0,4,3,7,9,21,32,61,109,145,213,288,394,491,439,304,145,27,0
Se19 不整脈及び伝導障害,3,0,0,4,6,4,3,19,12,20,33,53,84,114,166,242,330,362,277,130,17,1
Se20 心不全,2,1,0,0,3,5,6,13,17,31,43,82,116,169,268,480,859,1150,1115,609,150,1
Se21 脳血管疾患,0,0,1,6,3,4,15,34,75,121,177,290,438,542,785,1412,1954,1994,1456,680,127,2
Se22 くも膜下出血,0,0,1,4,1,0,9,19,31,48,59,94,95,101,131,165,170,119,59,25,1,0
Se23 脳内出血,0,0,0,2,1,1,5,13,38,55,98,136,231,230,282,417,491,410,242,70,20,0
Se24 脳梗塞,0,0,0,0,1,2,1,1,6,13,13,54,104,193,352,779,1246,1437,1111,566,104,2
Se25 大動脈瘤及び解離,0,0,0,1,0,0,3,4,7,10,17,30,70,79,141,187,253,208,115,42,2,0
Se26 肺炎,15,2,1,3,3,5,2,10,7,15,31,84,136,260,525,1107,1901,2186,1909,982,217,0
Se27 慢性閉塞性肺疾患,0,0,0,0,1,0,0,1,2,1,2,7,20,47,81,222,320,297,173,59,13,0
Se28 喘息,1,0,0,0,0,0,2,4,0,1,2,5,3,14,11,26,33,25,20,17,5,0
Se29 肝疾患,0,0,0,0,1,1,6,14,23,44,70,106,141,181,176,180,149,100,57,23,1,1
Se30 腎不全,0,0,0,0,0,0,1,5,4,3,11,19,54,59,131,256,383,450,338,150,33,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,67,259,561,986,839,316,0
Se32 不慮の事故,29,11,4,21,50,35,49,51,55,50,84,139,168,218,285,368,498,394,270,107,22,6
Se33 交通事故,6,3,3,10,32,20,32,23,17,14,30,32,42,48,59,64,51,37,14,3,0,0
Se34 自殺,0,0,5,61,136,161,179,195,228,248,270,308,279,225,156,146,115,61,28,5,0,23
