,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,249,41,52,109,237,262,384,614,757,1144,1661,3019,5183,6490,8424,12416,15997,15915,11764,5774,1337,60
Se01 結核,0,0,0,0,0,0,0,2,1,2,2,4,2,9,13,25,40,49,32,9,1,0
Se02 悪性新生物＜腫瘍＞,9,14,10,9,18,27,65,145,218,385,678,1436,2674,3317,3916,5049,5123,3721,1866,620,74,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,3,2,10,21,79,137,189,171,142,123,64,30,5,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,0,15,23,28,44,90,191,356,444,592,738,734,587,317,103,13,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,1,2,1,6,7,13,36,37,108,224,246,317,394,453,394,222,88,11,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,10,11,15,38,80,141,167,155,182,184,117,57,20,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,1,0,1,4,9,22,55,136,263,314,396,602,469,273,112,26,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,1,3,9,11,46,73,122,185,238,282,251,135,52,4,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,13,28,49,97,229,313,345,362,381,287,136,43,7,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,8,23,43,101,232,494,695,817,1081,1123,683,329,95,10,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,4,2,18,36,65,88,129,166,129,96,104,73,89,35,20,1,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,7,16,17,23,27,40,53,43,51,51,59,48,30,8,1,0
Se13 白血病,5,1,4,4,4,7,5,9,11,13,21,39,64,90,92,138,111,69,25,8,1,0
Se14 糖尿病,0,0,0,0,1,0,1,2,9,14,17,35,65,98,120,172,194,146,108,39,4,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,0,2,5,8,13,16,25,38,68,97,100,63,23,0
Se16 心疾患（高血圧性を除く）,6,4,4,4,9,18,35,53,79,129,166,324,501,655,889,1465,2167,2562,2157,1112,228,2
Se17 急性心筋梗塞,0,0,1,0,1,3,5,20,16,50,59,114,167,185,245,362,464,496,322,128,18,0
Se18 その他の虚血性心疾患,0,0,0,0,1,1,10,5,20,23,41,73,119,170,211,312,427,384,260,128,30,1
Se19 不整脈及び伝導障害,2,0,0,1,5,3,10,14,18,19,30,45,60,94,122,194,283,362,279,136,20,1
Se20 心不全,1,2,1,1,1,2,8,8,14,20,13,56,93,132,210,432,735,1040,1062,613,142,0
Se21 脳血管疾患,0,1,1,1,3,4,10,40,57,103,138,239,402,466,716,1165,1758,1847,1445,648,114,0
Se22 くも膜下出血,0,0,1,0,1,0,7,22,29,41,59,79,131,102,104,133,133,119,53,19,3,0
Se23 脳内出血,0,1,0,1,1,1,1,17,25,47,55,111,166,176,256,359,500,403,196,84,11,0
Se24 脳梗塞,0,0,0,0,0,2,1,1,3,11,21,43,94,174,334,649,1088,1289,1156,524,96,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,4,5,6,13,13,24,50,69,133,189,238,242,133,49,4,0
Se26 肺炎,4,1,3,1,4,3,7,6,12,9,21,53,154,280,490,1014,1835,2212,1787,907,209,0
Se27 慢性閉塞性肺疾患,2,0,0,0,0,0,1,1,1,1,1,9,25,48,94,214,316,322,159,69,6,0
Se28 喘息,0,1,0,0,0,0,1,2,2,1,5,5,6,3,8,17,23,26,26,9,2,0
Se29 肝疾患,1,0,0,0,1,2,4,14,27,50,88,108,160,149,167,147,167,97,45,14,1,2
Se30 腎不全,1,0,0,0,0,0,1,1,2,9,11,21,46,65,124,221,330,412,306,139,35,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,6,29,65,290,749,1123,947,360,0
Se32 不慮の事故,19,11,8,32,53,34,45,50,55,57,65,110,181,169,258,346,444,396,272,122,24,4
Se33 交通事故,2,5,3,25,41,16,28,21,24,19,26,38,40,39,69,77,64,35,12,2,0,0
Se34 自殺,0,0,9,41,119,132,137,194,182,223,201,223,240,202,135,138,111,70,35,9,0,14
