,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,259,43,53,128,243,298,407,582,884,1154,1789,3288,5584,6740,8894,13158,16636,16388,12032,5916,1357,81
Se01 結核,0,0,0,0,0,0,0,1,0,1,1,6,11,10,8,19,36,32,12,13,1,0
Se02 悪性新生物＜腫瘍＞,8,6,10,14,18,36,66,124,238,383,751,1538,2836,3340,4025,5212,5261,3856,1871,580,66,4
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,3,8,34,69,154,166,164,167,120,74,32,9,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,3,9,16,25,37,102,229,388,505,578,743,729,539,347,88,11,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,1,0,1,1,6,18,20,34,54,103,211,246,327,415,401,376,232,89,10,1
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,1,15,18,44,90,150,169,184,176,178,115,58,17,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,4,6,18,61,125,273,314,418,576,518,296,89,35,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,3,7,15,45,95,122,171,278,304,274,132,36,2,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,1,1,1,4,16,31,56,131,256,309,357,413,391,288,149,45,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,15,21,49,90,249,539,687,841,1130,1192,783,330,89,18,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,6,16,45,48,81,117,159,112,115,106,81,78,51,19,4,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,12,19,29,38,50,56,38,45,67,62,54,24,7,0,0
Se13 白血病,3,2,0,4,7,9,6,8,14,18,24,35,80,98,102,115,102,68,25,4,1,0
Se14 糖尿病,0,0,0,0,0,3,0,1,16,12,20,33,91,84,135,175,202,155,122,48,4,0
Se15 高血圧性疾患,0,0,0,0,0,1,1,2,1,1,3,17,19,27,27,50,73,103,114,55,13,0
Se16 心疾患（高血圧性を除く）,6,3,2,7,5,15,31,63,104,133,221,378,642,764,1047,1693,2415,2657,2281,1157,248,7
Se17 急性心筋梗塞,0,0,0,0,0,5,6,16,27,41,77,131,182,242,283,414,531,533,348,136,17,1
Se18 その他の虚血性心疾患,0,0,0,0,0,2,6,14,29,39,53,90,193,208,277,379,460,405,265,121,28,5
Se19 不整脈及び伝導障害,2,2,0,2,2,2,10,13,21,23,46,55,93,114,146,221,319,349,285,130,27,1
Se20 心不全,1,0,1,1,1,5,3,8,17,16,28,67,107,123,230,477,821,1029,1160,676,162,0
Se21 脳血管疾患,1,0,2,0,3,12,19,41,62,99,119,216,364,472,740,1212,1720,1812,1470,643,120,2
Se22 くも膜下出血,0,0,0,0,2,7,6,11,28,45,45,62,101,91,107,144,131,113,45,20,0,0
Se23 脳内出血,1,0,2,0,1,4,8,27,27,42,53,104,162,191,246,344,452,364,201,69,8,0
Se24 脳梗塞,0,0,0,0,0,1,3,2,5,11,14,41,83,176,361,685,1094,1285,1181,539,111,2
Se25 大動脈瘤及び解離,0,0,0,0,0,1,1,4,4,9,13,21,47,67,95,148,218,195,102,43,4,0
Se26 肺炎,6,1,0,1,3,2,3,9,14,14,33,68,144,231,507,1051,1841,2298,1841,1018,229,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,2,1,3,7,20,36,100,211,320,310,161,62,14,0
Se28 喘息,0,0,0,0,0,1,0,1,2,2,1,5,3,3,10,17,21,26,23,14,2,0
Se29 肝疾患,3,0,0,1,1,1,7,12,39,49,90,111,121,156,124,161,154,109,45,14,1,1
Se30 腎不全,1,0,0,0,1,2,1,0,4,5,9,21,70,84,125,223,373,437,285,167,22,1
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,82,315,733,1077,898,396,0
Se32 不慮の事故,19,17,20,54,61,55,65,59,67,91,99,160,207,266,305,442,541,492,327,121,23,5
Se33 交通事故,6,7,7,28,30,22,23,20,24,25,24,41,58,58,67,72,74,37,16,1,0,0
Se34 自殺,0,0,5,28,117,132,152,167,178,186,182,228,260,209,157,140,98,60,29,7,1,13
