日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2021-12-29, 北海道,172,59,59,0,１／３,1211,2028,0,3,34,0,0,0,１／３,87,134,0,0,34,0,１／３,1450,2500,0,1,0,１／３,14,56,0,65,0,14,0
2021-12-29, 青森県,0,0,0,0,１／５,362,407,0,0,－,0,0,0,１／５,31,31,0,0,0,0,１／５,700,700,0,0,0,－,0,0,－,0,0,0,0
2021-12-29, 岩手県,1,1,1,0,１／２,203,301,0,0,100,0,0,0,１／２,29,31,0,0,0,0,１／２,100,280,0,0,0,－,0,0,－,0,0,0,0
2021-12-29, 宮城県 ,3,3,3,0,Ⅰ／Ⅰ,510,510,0,1,100,0,0,0,Ⅰ／Ⅰ,55,55,0,0,0,0,Ⅰ／Ⅰ,1250,1250,0,0,0,－,0,0,－,0,0,0,0
2021-12-29, 秋田県 ,0,0,0,0,３／６,140,289,0,0,－,0,0,0,３／６,10,24,0,0,0,0,３／６,395,395,0,0,0,－,0,0,－,0,0,0,0
2021-12-29, 山形県 ,1,1,1,0,２／４,183,237,0,0,100,0,0,0,２／４,26,26,0,0,0,0,２／４,348,348,0,0,0,２／４,0,0,－,0,0,0,0
2021-12-29, 福島県 ,21,19,19,0,２／３,667,728,0,3,90,0,0,0,２／３,40,47,0,0,0,0,２／３,300,480,0,0,0,２／３,0,21,0,0,0,2,2
2021-12-29, 茨城県 ,11,2,2,0,１／４,300,607,21,0,18,0,0,0,１／４,30,72,0,0,7,0,３／５,830,2600,0,0,0,１／４,21,21,0,2,0,0,0
2021-12-29, 栃木県,72,23,23,0,１／３,360,633,100,4,32,0,0,0,１／３,22,46,0,0,5,0,１／３,665,1065,0,0,0,１／３,0,100,0,23,0,21,0
2021-12-29, 群馬県,126,39,39,0,１／４,219,558,0,7,31,1,1,0,１／４,14,37,0,3,71,0,１／６,531,1727,0,4,0,－,0,0,－,16,0,0,0
2021-12-29, 埼玉県 ,89,34,34,0,２／４,990,1715,0,2,38,1,1,0,２／４,124,198,0,1,17,0,４／４,1581,1986,8,1,0,１／６,8,8,0,28,0,10,0
2021-12-29, 千葉県 ,41,24,24,0,１／２,939,1457,158,2,59,1,1,0,１／２,78,124,0,1,3,0,１／２,1843,1843,3,0,0,１／２,0,161,0,13,0,1,0
2021-12-29, 東京都 ,451,206,206,0,１／３,4669,6919,80,3,46,46,46,0,１／３,1468,1468,0,3,88,4,１／３,3740,7966,90,1,5,１／３,211,936,1,63,1,93,6
2021-12-29, 神奈川県,218,65,65,4,１／４,1012,2100,143,3,30,2,2,0,１／４,92,210,0,1,27,0,１／１,1467,2076,0,1,4,１／４,39,143,3,126,0,0,0
2021-12-29, 新潟県,45,31,31,0,１／４,351,653,0,5,69,0,0,0,１／４,39,112,0,0,1,0,１／３,300,340,0,0,0,１／３,0,10,0,13,0,0,0
2021-12-29, 富山県 ,1,1,1,0,１／３,111,481,0,0,100,0,0,0,１／３,12,36,0,0,0,0,１／３,625,625,0,0,0,１／３,0,0,－,0,0,0,0
2021-12-29, 石川県,63,37,37,0,１／３,153,303,0,12,59,0,0,0,１／３,32,37,0,0,0,0,１／３,560,560,0,0,0,１／３,0,0,－,26,26,0,0
