,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,306,55,51,114,251,304,464,659,945,1334,2068,3698,5839,7627,10216,14716,19108,18137,13241,6606,1445,71
Se01 結核,0,0,0,1,0,1,1,0,1,3,1,3,11,4,24,24,49,52,16,5,1,0
Se02 悪性新生物＜腫瘍＞,8,10,8,7,25,33,77,142,241,401,762,1594,2687,3412,4210,5183,5221,3749,1760,600,83,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,4,16,28,84,130,171,195,160,130,77,32,15,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,5,14,16,29,41,110,210,397,493,637,709,764,555,326,107,5,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,1,0,1,4,10,23,34,53,120,207,240,324,395,477,402,224,92,6,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,8,11,18,48,101,116,159,169,177,148,122,56,16,5,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,11,15,26,43,130,253,337,518,625,505,271,72,28,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,1,2,6,14,56,99,138,190,296,301,301,109,46,9,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,2,9,26,56,147,227,313,302,416,374,266,110,34,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,15,26,48,117,255,503,708,820,1093,1095,712,292,93,12,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,8,27,42,67,91,129,163,128,119,100,88,70,39,13,4,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,2,8,8,9,20,24,43,52,47,49,54,71,42,17,8,1,0
Se13 白血病,3,3,4,3,6,5,9,9,10,12,33,33,61,81,95,110,110,58,29,5,1,0
Se14 糖尿病,0,0,0,1,0,1,3,4,7,16,32,72,99,122,177,206,259,232,118,49,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,3,3,8,14,15,23,40,59,98,116,145,89,24,1
Se16 心疾患（高血圧性を除く）,8,3,4,5,11,16,36,68,125,191,249,504,811,1142,1548,2381,3431,3637,2774,1444,263,0
Se17 急性心筋梗塞,0,0,0,0,1,1,4,17,30,57,78,166,256,335,458,653,857,837,510,196,23,0
Se18 その他の虚血性心疾患,0,0,0,0,1,2,8,12,28,46,66,114,227,322,371,504,706,576,405,190,27,0
Se19 不整脈及び伝導障害,2,1,2,2,1,2,11,11,27,32,30,76,117,148,239,298,452,483,365,167,30,0
Se20 心不全,1,0,0,2,5,6,8,17,19,36,56,102,137,232,323,663,1092,1369,1231,745,159,0
Se21 脳血管疾患,1,0,0,1,5,7,15,31,77,118,193,318,500,678,964,1622,2221,2183,1678,789,140,3
Se22 くも膜下出血,1,0,0,1,2,2,7,15,31,60,68,95,120,148,142,219,211,152,88,24,2,0
Se23 脳内出血,0,0,0,0,2,4,8,12,37,52,104,163,256,285,347,476,627,473,266,106,16,2
Se24 脳梗塞,0,0,0,0,1,0,0,3,6,4,18,47,105,232,447,888,1322,1493,1285,637,118,1
Se25 大動脈瘤及び解離,0,0,0,0,0,0,2,5,10,8,39,53,81,111,138,239,321,298,132,36,4,0
Se26 肺炎,11,2,3,1,0,3,7,7,16,21,40,78,160,279,565,1140,2040,2354,1925,995,217,1
Se27 慢性閉塞性肺疾患,0,0,0,0,2,0,0,0,2,2,3,5,23,58,118,236,376,329,174,59,8,0
Se28 喘息,0,0,0,0,1,1,1,0,1,5,1,2,4,8,11,23,39,40,36,16,4,0
Se29 肝疾患,1,0,0,0,0,1,9,21,39,72,95,134,192,178,186,189,178,116,55,16,1,0
Se30 腎不全,2,1,0,0,1,1,6,3,8,14,8,21,46,87,167,262,407,496,423,190,34,1
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,90,341,811,1328,1131,405,0
Se32 不慮の事故,21,11,7,35,51,55,61,55,59,93,126,161,244,304,411,609,718,614,360,137,25,8
Se33 交通事故,3,8,1,23,31,28,23,19,19,31,34,42,58,79,74,114,102,47,23,2,0,0
Se34 自殺,0,0,6,32,118,127,165,221,209,200,240,250,246,195,126,116,91,46,22,2,0,19
