,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,272,30,48,122,215,280,356,631,824,1089,1769,3031,5138,6195,8478,12428,15794,15520,11262,5680,1306,56
Se01 結核,0,0,0,0,0,0,0,2,1,0,1,4,11,9,12,14,43,36,27,7,3,0
Se02 悪性新生物＜腫瘍＞,4,10,8,14,14,32,59,134,242,376,696,1409,2624,3062,3979,4873,4843,3533,1739,562,62,4
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,1,3,4,27,72,140,155,150,153,125,64,23,8,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,4,9,24,29,46,80,182,362,428,559,670,675,531,264,95,7,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,1,4,14,19,23,58,107,190,213,293,414,422,361,204,69,8,1
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,4,8,22,42,73,133,162,187,175,143,108,55,20,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,2,1,0,15,18,57,103,281,298,434,559,463,263,122,26,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,4,9,14,38,80,128,176,288,282,250,134,42,3,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,1,0,0,0,1,5,15,17,52,120,239,281,338,375,358,263,121,33,3,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,12,26,42,95,246,484,650,852,1029,1117,714,290,81,11,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,26,39,54,84,129,151,125,93,103,89,57,37,9,2,1
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,1,8,15,22,28,37,42,56,42,56,42,50,31,25,9,3,0
Se13 白血病,1,3,5,5,4,7,7,5,12,15,19,31,52,68,104,106,95,68,22,9,0,0
Se14 糖尿病,0,0,0,0,0,0,2,6,7,7,17,36,73,97,135,159,197,171,105,50,4,0
Se15 高血圧性疾患,0,0,0,0,0,1,0,1,0,1,3,8,23,23,20,35,86,97,101,68,12,0
Se16 心疾患（高血圧性を除く）,6,1,4,3,7,12,25,60,98,127,210,351,569,683,947,1666,2334,2639,2253,1112,270,4
Se17 急性心筋梗塞,0,0,0,0,1,1,3,18,16,43,59,127,167,198,286,443,592,500,372,133,17,1
Se18 その他の虚血性心疾患,0,0,0,1,2,2,4,11,22,32,59,80,162,163,227,351,410,355,270,112,29,2
Se19 不整脈及び伝導障害,0,0,0,2,0,2,7,11,17,14,33,50,79,93,104,243,316,373,241,135,25,0
Se20 心不全,0,1,1,0,2,4,7,12,31,24,40,62,85,136,228,470,766,1075,1092,621,170,0
Se21 脳血管疾患,1,0,2,0,7,12,11,45,59,93,163,239,376,469,693,1256,1745,1881,1387,678,126,2
Se22 くも膜下出血,0,0,1,0,2,6,2,22,29,38,57,69,105,95,92,131,132,105,63,23,0,0
Se23 脳内出血,1,0,1,0,2,4,9,22,24,47,89,134,164,185,230,394,446,384,246,80,17,1
Se24 脳梗塞,0,0,0,0,1,2,0,1,4,4,10,30,100,176,350,706,1114,1351,1044,562,107,1
Se25 大動脈瘤及び解離,0,0,0,0,2,0,0,5,6,8,11,27,51,64,108,150,204,195,113,27,4,0
Se26 肺炎,6,1,0,1,1,1,7,4,12,12,28,75,162,258,470,1002,1863,2213,1786,976,226,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,1,3,8,20,44,103,213,336,286,147,54,17,0
Se28 喘息,2,0,0,1,0,0,1,1,1,2,4,4,5,7,11,16,25,35,28,7,3,0
Se29 肝疾患,0,0,0,0,0,2,4,11,26,60,81,94,130,132,148,173,139,111,36,14,2,0
Se30 腎不全,0,0,0,0,0,1,2,3,2,3,8,19,40,66,119,246,368,438,319,143,23,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,80,283,624,987,847,335,0
Se32 不慮の事故,26,7,10,36,39,28,43,58,52,46,74,112,148,194,245,345,404,365,239,106,16,6
Se33 交通事故,6,4,3,25,24,11,12,24,14,13,33,34,48,46,60,65,58,38,12,2,0,1
Se34 自殺,0,0,8,50,125,141,142,204,209,202,242,232,261,197,175,153,107,73,32,7,1,9
