,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,264,48,39,133,218,311,403,678,869,1256,1877,3246,5413,6843,8988,12866,16612,15999,11641,5730,1296,74
Se01 結核,0,0,0,0,0,0,0,0,2,2,3,7,5,5,8,24,31,47,29,9,0,1
Se02 悪性新生物＜腫瘍＞,13,11,9,8,21,35,56,149,254,403,761,1491,2580,3326,3997,5101,5129,3585,1839,565,66,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,1,3,10,29,87,133,168,186,165,121,90,31,6,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,3,19,33,46,84,190,372,464,586,732,699,518,322,105,13,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,2,7,9,23,34,61,115,230,238,318,378,426,359,230,79,11,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,4,19,15,50,98,124,142,165,180,154,109,53,18,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2,0,1,0,0,2,1,8,7,26,57,119,238,323,443,593,494,271,108,25,1,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,0,5,7,25,53,72,135,188,240,277,219,146,51,7,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,3,13,28,53,107,245,273,323,423,400,287,106,32,2,1
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,1,0,2,0,2,10,30,44,110,226,484,730,804,1103,1139,710,310,98,12,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,24,33,58,88,137,132,127,99,112,90,72,36,15,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,9,15,18,27,36,49,61,63,42,60,64,52,27,3,1,0
Se13 白血病,6,4,2,2,4,7,6,12,16,20,29,29,64,79,84,125,107,68,24,13,1,0
Se14 糖尿病,0,0,1,0,0,1,1,3,10,8,26,47,94,90,147,154,227,174,105,37,8,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,2,4,6,12,12,18,32,44,65,105,107,59,19,0
Se16 心疾患（高血圧性を除く）,12,3,3,7,7,20,32,57,87,162,210,376,623,827,1130,1733,2403,2727,2175,1142,246,2
Se17 急性心筋梗塞,0,0,0,0,2,0,7,14,25,54,61,107,210,221,298,391,561,488,322,124,15,0
Se18 その他の虚血性心疾患,1,0,0,1,0,2,5,14,24,38,57,104,164,246,294,428,475,438,248,118,26,1
Se19 不整脈及び伝導障害,1,2,0,1,0,7,7,12,17,24,35,49,77,111,147,247,318,384,294,125,22,0
Se20 心不全,2,0,2,2,3,8,5,8,8,27,35,67,103,157,252,470,790,1091,1080,666,169,1
Se21 脳血管疾患,1,1,1,1,1,8,11,37,52,102,146,215,355,490,694,1236,1833,1902,1411,605,114,3
Se22 くも膜下出血,0,1,1,0,1,3,6,24,27,38,58,57,82,96,82,124,157,142,60,15,3,0
Se23 脳内出血,0,0,0,1,0,3,4,7,19,50,80,104,155,201,234,372,454,383,228,86,10,1
Se24 脳梗塞,0,0,0,0,0,1,0,4,2,7,6,44,107,174,363,713,1162,1338,1096,491,98,2
Se25 大動脈瘤及び解離,0,0,0,1,0,0,1,3,6,4,9,28,46,75,101,129,234,188,111,39,1,0
Se26 肺炎,7,1,2,1,2,5,8,4,12,15,29,71,163,248,531,1089,1905,2195,1816,1012,223,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,2,2,9,22,48,101,222,344,319,180,54,11,0
Se28 喘息,0,0,0,1,0,0,1,5,2,1,1,5,11,12,16,17,27,25,27,11,3,0
Se29 肝疾患,2,0,0,0,0,1,5,19,34,61,86,125,160,176,172,156,131,108,43,14,0,1
Se30 腎不全,0,0,0,0,0,1,0,1,2,3,11,20,51,74,131,220,401,395,341,136,29,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,7,15,64,293,673,1051,881,352,0
Se32 不慮の事故,29,18,9,48,55,47,53,61,77,81,106,125,218,239,311,426,498,492,262,118,15,6
Se33 交通事故,9,6,4,28,32,19,24,22,27,26,31,39,45,51,50,64,58,25,8,2,0,0
Se34 自殺,0,0,4,38,105,146,165,225,215,226,234,247,286,220,197,149,111,82,30,9,0,13
