,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,289,41,40,149,247,304,395,635,855,1207,1864,3279,4855,6464,8388,12138,15118,14132,10413,4916,1111,56
Se01 結核,0,0,0,0,0,1,0,0,0,2,6,3,3,10,24,27,35,42,21,7,2,0
Se02 悪性新生物＜腫瘍＞,4,10,10,12,19,28,73,146,233,371,792,1573,2416,3256,3974,5054,4960,3414,1767,529,69,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,5,7,33,81,120,165,163,160,115,78,32,4,3,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,2,5,7,17,27,46,116,220,348,475,626,684,716,521,307,105,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,2,0,1,6,6,20,29,60,105,175,259,325,368,416,363,214,75,9,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,3,8,8,15,51,88,120,141,156,174,160,114,61,19,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,1,5,6,17,27,51,165,239,361,465,647,436,245,101,26,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,8,2,22,41,89,116,204,274,300,230,138,39,4,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,2,12,30,55,112,195,280,316,365,378,286,112,25,4,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,15,23,42,109,254,448,682,805,1129,1096,642,288,75,14,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,31,35,55,94,151,137,114,81,82,84,61,35,14,5,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,12,16,30,24,52,60,57,46,45,54,50,26,13,1,0
Se13 白血病,1,4,1,3,2,6,1,10,6,15,20,32,66,73,102,118,85,65,25,12,1,0
Se14 糖尿病,0,0,0,0,0,2,1,5,9,16,13,49,65,95,127,167,193,150,93,29,7,1
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,1,7,5,8,14,24,30,69,93,100,60,9,0
Se16 心疾患（高血圧性を除く）,13,5,1,9,11,17,40,57,114,151,233,385,553,684,918,1520,2179,2437,2065,945,215,3
Se17 急性心筋梗塞,0,0,0,1,0,2,8,15,34,47,83,125,195,223,277,442,537,533,336,109,16,1
Se18 その他の虚血性心疾患,0,0,0,1,0,3,4,14,28,33,55,94,126,166,200,291,373,334,240,107,27,2
Se19 不整脈及び伝導障害,1,0,0,0,3,3,12,14,15,23,39,59,59,77,124,196,262,306,260,91,14,0
Se20 心不全,2,1,0,4,5,8,11,6,18,24,31,65,109,142,219,417,741,986,995,557,143,0
Se21 脳血管疾患,2,0,1,4,1,9,9,41,68,109,157,229,343,508,712,1213,1655,1787,1347,582,105,0
Se22 くも膜下出血,1,0,1,3,0,6,5,20,33,52,49,77,79,116,104,131,136,119,68,21,1,0
Se23 脳内出血,1,0,0,1,1,3,2,17,29,47,80,110,163,212,246,332,422,348,193,67,13,0
Se24 脳梗塞,0,0,0,0,0,0,1,2,5,6,22,33,86,169,339,719,1072,1280,1061,473,87,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,4,4,4,15,17,28,40,73,83,141,212,173,84,34,4,0
Se26 肺炎,3,0,0,2,0,5,5,2,8,15,29,55,138,224,427,948,1683,1874,1592,813,198,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,2,3,12,24,47,98,196,332,290,150,52,9,0
Se28 喘息,0,0,1,0,0,0,3,2,1,1,2,1,2,8,17,18,30,22,28,13,3,0
Se29 肝疾患,3,0,0,0,1,1,9,24,25,53,76,113,137,155,140,148,144,82,47,14,3,0
Se30 腎不全,2,0,0,0,0,0,1,2,1,9,8,27,47,67,132,215,319,355,247,134,18,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,52,227,570,868,722,270,0
Se32 不慮の事故,26,11,9,54,53,45,41,66,47,70,72,127,165,204,225,288,374,320,208,94,15,8
Se33 交通事故,8,3,6,32,36,17,19,26,20,28,15,38,52,52,57,60,52,27,9,1,0,1
Se34 自殺,0,0,5,48,131,148,146,205,214,215,234,241,260,224,185,157,92,67,29,8,2,15
