,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,289,38,39,121,229,291,371,667,831,1212,1794,3383,5176,6833,9115,13472,17416,16617,12002,5760,1323,61
Se01 結核,0,0,0,0,1,1,0,2,2,0,2,6,5,8,13,13,42,42,18,8,1,0
Se02 悪性新生物＜腫瘍＞,8,8,7,8,16,34,66,138,233,397,714,1514,2532,3241,3905,5022,5119,3523,1786,521,63,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,5,13,25,80,136,175,163,147,128,57,24,11,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,5,5,17,27,48,86,216,376,443,563,727,752,550,302,77,7,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,3,6,15,22,50,118,171,255,295,361,420,360,232,64,16,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,15,18,28,77,162,158,166,192,177,122,72,21,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,1,1,3,9,30,58,130,243,324,432,566,487,274,111,18,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,1,6,3,21,41,85,130,176,275,294,246,133,42,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,4,18,29,63,113,210,284,364,394,381,255,109,41,2,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,0,7,20,22,47,108,235,470,648,793,1088,1137,684,281,84,10,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,1,1,7,21,33,64,83,143,136,122,108,91,94,50,38,13,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,13,17,25,29,44,58,39,39,53,45,39,19,6,0,0
Se13 白血病,3,1,2,2,6,4,5,5,7,19,28,38,41,91,99,102,96,58,22,6,1,0
Se14 糖尿病,0,0,0,0,0,2,2,3,4,13,32,40,82,112,158,202,223,196,122,40,2,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,5,4,5,10,23,22,30,43,71,102,108,70,12,0
Se16 心疾患（高血圧性を除く）,13,2,2,3,14,13,26,61,89,149,234,406,611,832,1191,1974,2851,3044,2452,1215,231,2
Se17 急性心筋梗塞,0,1,0,0,0,1,4,15,26,47,75,134,206,259,367,553,728,647,421,172,22,0
Se18 その他の虚血性心疾患,0,0,0,0,0,1,3,8,17,35,57,91,146,196,263,432,543,470,336,148,26,0
Se19 不整脈及び伝導障害,1,0,0,1,6,2,4,14,18,22,34,43,88,122,152,261,334,398,289,144,16,0
Se20 心不全,4,0,1,2,3,6,8,12,16,29,41,91,117,173,293,554,950,1178,1165,650,151,1
Se21 脳血管疾患,1,0,0,2,3,7,15,44,68,114,156,289,467,567,839,1435,2000,2118,1439,696,144,1
Se22 くも膜下出血,0,0,0,0,2,4,6,22,31,54,62,97,126,108,111,190,159,140,64,19,1,1
Se23 脳内出血,1,0,0,1,1,2,7,15,33,54,74,151,213,250,312,432,545,434,219,83,13,0
Se24 脳梗塞,0,0,0,0,0,0,0,4,3,4,18,37,115,186,389,782,1240,1494,1120,575,125,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,2,4,11,9,16,46,69,103,140,199,284,218,139,40,4,0
Se26 肺炎,7,1,3,0,0,4,4,11,16,19,31,82,148,248,536,1019,1934,2200,1805,875,211,0
Se27 慢性閉塞性肺疾患,0,0,1,0,0,0,0,0,2,2,4,9,25,48,100,208,362,309,174,61,8,0
Se28 喘息,0,0,0,1,0,0,2,2,2,3,3,4,6,11,9,26,32,35,33,13,2,0
Se29 肝疾患,2,1,1,1,1,1,4,20,30,69,86,116,141,192,169,171,159,97,56,19,7,0
Se30 腎不全,2,0,1,0,1,0,1,2,3,6,9,33,46,87,132,241,373,452,361,168,33,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,101,312,729,1120,923,389,0
Se32 不慮の事故,26,10,4,45,47,46,35,60,65,61,86,154,201,232,328,468,566,469,287,118,18,7
Se33 交通事故,5,7,1,37,34,22,15,29,22,18,24,49,51,66,63,90,66,45,22,0,0,2
Se34 自殺,0,0,5,36,109,137,152,199,192,204,224,264,239,172,145,117,83,59,25,7,1,13
