,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,307,42,51,130,247,338,439,649,886,1307,1916,3371,5559,7252,9482,14183,18328,17769,12973,6555,1504,45
Se01 結核,0,0,0,0,0,0,0,0,0,1,2,4,7,8,15,14,46,42,31,7,2,0
Se02 悪性新生物＜腫瘍＞,7,7,15,16,23,37,65,137,241,407,778,1496,2621,3301,4059,5120,5180,3737,1726,576,75,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,2,4,11,35,80,136,192,157,177,121,57,29,11,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,15,31,53,102,221,341,480,628,687,713,553,281,95,10,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,5,12,20,37,49,92,186,231,303,387,420,373,199,91,12,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,2,9,14,20,47,73,133,123,163,187,195,118,57,22,0,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,1,0,0,0,1,4,6,13,25,64,118,258,343,451,604,457,272,103,40,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,5,9,28,44,80,137,204,264,323,255,147,37,7,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,4,6,27,53,129,242,289,360,393,385,267,112,28,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,2,7,8,26,52,110,251,470,675,811,1132,1134,774,302,81,15,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,4,7,17,40,50,93,146,145,135,93,94,100,82,40,9,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,4,8,15,23,27,32,57,62,60,46,53,60,38,26,7,0,0
Se13 白血病,2,1,8,4,5,7,4,8,6,17,26,33,71,65,77,125,112,62,22,7,0,0
Se14 糖尿病,0,0,1,0,1,4,2,5,5,15,25,56,71,101,143,218,263,201,121,46,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,1,0,1,0,7,5,22,14,30,48,99,146,137,80,13,0
Se16 心疾患（高血圧性を除く）,12,2,4,6,12,18,35,62,84,145,210,363,746,984,1258,2131,3235,3519,2786,1436,285,2
Se17 急性心筋梗塞,0,0,0,0,0,0,3,11,16,49,57,129,241,294,363,615,810,720,455,182,26,0
Se18 その他の虚血性心疾患,0,0,0,1,0,3,8,17,31,34,49,92,182,256,307,457,634,591,373,153,31,0
Se19 不整脈及び伝導障害,1,0,0,2,2,8,11,11,15,21,34,52,95,125,163,291,435,444,346,166,29,0
Se20 心不全,5,2,1,1,8,5,10,12,12,27,43,54,151,202,304,550,1025,1379,1321,784,179,2
Se21 脳血管疾患,1,1,2,2,1,9,26,43,75,115,160,289,439,602,895,1487,2100,2178,1624,738,146,2
Se22 くも膜下出血,0,1,1,1,0,4,13,19,36,56,65,89,116,124,130,165,186,139,66,21,0,0
Se23 脳内出血,1,0,1,1,1,5,10,20,29,51,84,153,215,252,315,462,557,503,262,89,20,1
Se24 脳梗塞,0,0,0,0,0,0,0,1,3,5,8,38,96,208,427,809,1303,1468,1265,611,124,1
Se25 大動脈瘤及び解離,0,0,0,1,1,1,4,4,9,23,15,29,78,120,153,230,323,277,144,47,4,1
Se26 肺炎,12,5,1,0,0,7,7,9,13,18,28,73,156,282,546,1165,2050,2421,2020,1086,222,0
Se27 慢性閉塞性肺疾患,1,0,0,0,0,0,0,1,2,3,1,10,33,57,110,256,362,336,179,64,14,0
Se28 喘息,0,0,1,1,2,0,1,3,1,2,2,1,5,8,14,26,32,40,24,22,7,0
Se29 肝疾患,0,1,0,0,1,0,6,16,36,59,67,143,170,182,209,196,145,108,47,16,1,0
Se30 腎不全,0,0,1,0,2,0,1,0,3,7,14,32,54,81,147,247,371,506,369,173,35,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,78,300,709,1181,1046,424,0
Se32 不慮の事故,19,8,6,41,44,43,46,53,68,84,95,163,200,271,342,512,585,489,291,124,29,3
Se33 交通事故,2,5,3,28,23,17,15,18,22,25,21,36,40,58,60,74,57,33,4,2,1,0
Se34 自殺,0,0,7,35,121,164,184,205,221,236,256,297,278,242,151,128,101,39,23,7,0,16
