,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,270,32,42,113,213,278,366,556,831,1209,1788,3150,5415,6762,9057,13208,17434,17158,12459,6356,1496,52
Se01 結核,0,0,0,0,0,0,0,0,0,2,1,2,8,16,15,18,54,48,18,8,0,0
Se02 悪性新生物＜腫瘍＞,9,6,11,10,21,31,60,136,209,391,745,1540,2730,3423,4176,5186,5342,3928,1902,583,80,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,2,6,12,21,66,131,195,179,146,135,74,27,9,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,7,18,26,47,108,185,394,476,608,698,737,564,294,91,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,2,5,11,17,32,68,116,195,244,338,427,442,387,261,92,8,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,9,9,24,51,74,144,182,180,168,187,141,57,19,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,1,0,3,2,8,13,42,131,217,343,440,653,460,308,104,24,1,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,1,1,8,17,42,82,121,194,236,319,294,147,40,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,6,11,29,52,145,280,331,362,428,432,316,136,40,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,1,1,0,2,9,14,47,110,240,507,645,851,1090,1196,725,301,88,10,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,5,19,33,54,88,161,160,132,100,84,95,77,44,17,8,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,15,20,17,26,42,73,50,61,63,64,46,29,7,2,0
Se13 白血病,5,1,4,4,7,6,7,7,7,10,17,39,58,102,96,129,115,52,35,5,1,0
Se14 糖尿病,0,0,0,0,1,3,4,4,8,15,17,51,69,83,122,173,229,164,96,37,4,1
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,3,5,5,13,10,20,18,49,70,111,128,70,26,0
Se16 心疾患（高血圧性を除く）,6,1,6,7,5,18,31,44,95,151,197,339,622,765,1082,1690,2564,2838,2356,1286,257,2
Se17 急性心筋梗塞,0,0,0,0,1,4,3,10,33,52,61,112,181,232,331,409,613,551,363,153,18,0
Se18 その他の虚血性心疾患,1,0,0,0,0,6,8,11,13,35,45,82,165,207,276,356,465,442,290,135,30,0
Se19 不整脈及び伝導障害,1,0,3,3,1,3,13,11,22,27,23,48,93,99,150,229,345,408,292,151,25,1
Se20 心不全,2,1,1,1,3,3,4,7,15,21,37,57,97,147,234,500,842,1132,1124,735,171,1
Se21 脳血管疾患,0,0,1,2,5,5,14,33,77,98,176,231,401,535,772,1295,1943,1997,1505,714,127,3
Se22 くも膜下出血,0,0,1,1,3,2,9,17,31,39,62,65,112,88,125,173,179,128,63,15,1,1
Se23 脳内出血,0,0,0,1,1,0,4,13,41,50,98,137,187,236,262,389,502,425,256,111,15,1
Se24 脳梗塞,0,0,0,0,0,2,0,1,3,8,11,22,87,197,375,715,1218,1394,1153,562,106,1
Se25 大動脈瘤及び解離,0,0,0,0,1,2,1,2,6,14,16,40,77,111,109,234,257,265,122,42,3,0
Se26 肺炎,6,1,1,1,3,1,6,9,10,16,40,63,153,234,499,1028,1923,2389,1858,965,228,1
Se27 慢性閉塞性肺疾患,0,1,0,0,0,0,0,0,1,1,6,7,19,52,80,227,365,325,182,71,9,1
Se28 喘息,1,0,0,0,0,0,2,2,2,2,1,1,4,4,14,15,34,41,31,16,4,0
Se29 肝疾患,1,0,1,1,0,0,11,15,35,77,79,116,162,160,185,178,140,103,52,15,1,0
Se30 腎不全,1,0,0,0,1,1,0,3,1,3,9,28,45,67,125,240,375,474,333,152,28,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,80,361,848,1259,1142,435,0
Se32 不慮の事故,21,10,9,39,46,44,40,45,67,70,80,115,196,218,288,404,556,458,260,112,32,1
Se33 交通事故,7,3,1,34,33,24,21,19,25,29,33,31,66,51,80,83,75,40,10,2,0,0
Se34 自殺,0,0,2,32,102,134,138,184,179,182,194,213,252,175,151,124,101,58,25,5,2,19
